origin,date,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib
EWR,12/22/2013,9,64.94,60.98,87.0,190,13.80936,15.8915353008,0.01,1010.1,10.0
EWR,7/23/2013,6,77.0,75.2,94.19,140,4.60312,5.2971784336,0.01,NA,4.0
EWR,10/30/2013,11,44.96,35.96,70.52,0,0.0,0.0,0.0,1025.8,10.0
EWR,12/25/2013,21,28.04,6.08,38.69,250,3.45234,3.9728838252,0.0,1033.0,10.0
EWR,6/18/2013,9,66.02,62.06,87.05,10,5.7539,6.621473042,0.0,1011.9,10.0
EWR,5/5/2013,15,57.92,37.04,45.58,NA,4.60312,5.2971784336,0.0,1025.3,10.0
EWR,8/27/2013,11,73.94,68.0,81.71,310,10.35702,11.9186514756,0.0,1011.2,10.0
EWR,5/20/2013,11,60.08,60.08,100.0,0,0.0,0.0,0.0,1019.4,0.25
EWR,3/21/2013,15,35.06,10.94,36.26,350,12.65858,14.5672406924,0.0,1006.9,10.0
EWR,8/10/2013,20,84.02,60.08,44.45,290,12.65858,14.5672406924,0.0,1014.7,10.0
EWR,2/9/2013,19,33.08,10.04,37.7,310,25.31716,29.1344813848,0.0,1018.3,10.0
EWR,12/11/2013,6,26.96,15.08,60.41,240,11.5078,13.242946084,0.0,1022.1,10.0
EWR,4/29/2013,21,55.94,46.94,71.7,100,4.60312,5.2971784336,0.0,1022.3,10.0
EWR,5/6/2013,10,51.08,44.96,79.48,10,5.7539,6.621473042,0.0,1024.0,8.0
EWR,12/27/2013,8,28.04,19.04,68.57,280,6.90468,7.9457676504,0.0,1026.6,10.0
EWR,3/27/2013,5,39.02,28.04,64.43,300,10.35702,11.9186514756,0.0,1011.8,10.0
EWR,8/15/2013,21,78.08,46.94,33.34,310,6.90468,7.9457676504,0.0,1018.0,10.0
EWR,4/19/2013,7,53.6,53.6,100.0,100,3.45234,3.9728838252,0.0,NA,4.0
EWR,7/14/2013,9,77.0,73.4,88.67,0,0.0,0.0,0.0,NA,9.0
EWR,11/27/2013,9,60.8,59.0,93.79,170,17.2617,19.864419126,0.06,NA,3.0
EWR,10/11/2013,22,68.0,59.0,72.92,40,10.35702,11.9186514756,0.0,1017.5,10.0
EWR,2/22/2013,6,24.98,14.0,62.55,360,9.20624,10.5943568672,0.0,1025.3,10.0
EWR,2/14/2013,2,38.84,28.94,67.32,330,8.05546,9.2700622588,0.0,1005.8,10.0
EWR,2/19/2013,23,44.6,42.8,93.35,230,14.96014,17.2158299092,0.02,NA,7.0
EWR,11/1/2013,12,69.08,62.06,78.33,200,20.71404,23.8373029512,0.01,1001.3,10.0
EWR,5/22/2013,16,71.06,62.06,73.22,40,3.45234,3.9728838252,0.0,1012.9,2.5
EWR,9/20/2013,3,60.08,55.04,83.41,220,5.7539,6.621473042,0.0,1018.7,10.0
EWR,5/16/2013,11,66.92,48.92,52.35,0,0.0,0.0,0.0,1008.6,10.0
EWR,12/24/2013,18,41.0,19.04,40.9,320,8.05546,9.2700622588,0.0,1019.3,10.0
EWR,1/1/2013,9,39.92,28.04,62.21,250,12.65858,14.5672406924,0.0,1012.2,10.0
EWR,12/29/2013,19,42.98,42.08,96.6,50,8.05546,9.2700622588,0.25,1001.8,1.5
EWR,9/30/2013,3,57.92,51.98,80.55,0,0.0,0.0,0.0,1019.1,10.0
EWR,12/27/2013,23,37.94,19.04,46.09,240,6.90468,7.9457676504,0.0,1026.5,10.0
EWR,1/22/2013,13,21.02,3.02,45.07,280,24.16638,27.8101867764,0.0,1017.3,10.0
EWR,4/29/2013,8,55.04,48.92,79.8,160,3.45234,3.9728838252,0.0,1022.8,10.0
EWR,6/8/2013,20,75.92,62.06,62.17,260,12.65858,14.5672406924,0.0,1013.4,10.0
EWR,11/16/2013,3,44.06,26.96,50.73,230,8.05546,9.2700622588,0.0,1023.8,10.0
EWR,1/25/2013,9,12.92,-0.94,53.17,260,5.7539,6.621473042,0.0,1030.3,10.0
EWR,3/13/2013,17,48.92,24.08,37.46,280,11.5078,13.242946084,0.0,1009.9,10.0
EWR,2/21/2013,17,35.06,10.94,36.26,300,19.56326,22.5130083428,0.0,1015.9,10.0
EWR,5/16/2013,3,69.08,57.02,65.44,250,4.60312,5.2971784336,0.0,1006.5,10.0
EWR,5/18/2013,21,60.08,53.06,77.59,150,5.7539,6.621473042,0.0,1025.5,10.0
EWR,8/16/2013,20,77.0,51.08,40.33,NA,4.60312,5.2971784336,0.0,1020.5,10.0
EWR,2/12/2013,10,39.2,26.6,60.29,270,13.80936,15.8915353008,0.0,NA,10.0
EWR,12/8/2013,20,33.08,17.96,53.36,30,4.60312,5.2971784336,0.0,1033.3,10.0
EWR,2/24/2013,10,37.94,35.96,92.49,360,10.35702,11.9186514756,0.0,1007.8,10.0
EWR,5/6/2013,6,48.2,42.8,81.47,0,0.0,0.0,0.0,NA,10.0
EWR,9/11/2013,12,80.06,73.04,79.2,240,8.05546,9.2700622588,0.0,1019.7,5.0
